pwdprmor,pwdstcrd,pwdsloan,pwarppg,pwarrspl,pwarrif,pwaotpen,pwatfs,pefatinc,pweight,pagemieg,peducmie,total_retirement_assets,retirement_preparedness,has_mortage,has_cc,has_student,retirement_preparedness_log
75000,0,0,625000,160000,0,0,225,87375,2867.1163,7,4,785225,8.98683834048641,1,0,0,2.396698041902151
0,0,0,470000,9500,0,0,50000,56400,2509.0233,11,3,529500,9.388297872340425,0,0,0,2.4325863257597335
0,0,0,330000,1250000,0,13500,725,181100,318.6627,6,9,1594225,8.803009387078962,0,0,0,2.379824742267078
0,0,0,0,500000,0,0,62500,114300,314.7685,11,4,562500,4.921259842519685,0,0,0,1.9345978112265858
0,0,0,0,400000,0,0,0,80900,1177.7494,11,2,400000,4.944375772558715,0,0,0,1.9379320906056974
0,0,0,43000,0,0,0,0,32500,459.2005,12,1,43000,1.323076923076923,0,0,0,1.2008911377885279
0,0,0,360000,180000,50000,0,130000,49200,1292.7324,11,2,720000,14.634146341463415,0,0,0,2.8114575911391544
0,0,0,575000,0,220000,21000,45000,55925,3356.0638,12,2,861000,15.395619132767099,0,0,0,2.856218400541192
135000,0,0,175000,0,14500,0,25000,51500,2312.2934,12,3,214500,4.165048543689321,1,0,0,1.8188960106630558
0,1550,0,0,50000,0,31000,12000,129050,762.4992,8,4,93000,0.7206509104998062,0,1,0,1.0008711570097637
0,0,0,220000,210000,0,0,97500,58500,1433.8421,10,2,527500,9.017094017094017,0,0,0,2.399448068141431
0,0,0,0,500000,0,0,52500,105450,1021.0424,10,3,552500,5.239449976292081,0,0,0,1.9795452333863457
0,0,0,340000,200000,0,0,62500,50125,2099.5013,8,3,602500,12.019950124688279,0,0,0,2.640481324159908
0,0,0,0,190000,105000,0,9500,62100,587.4575,14,4,304500,4.903381642512077,0,0,0,1.9320113846644982
95000,16000,0,0,47000,0,0,0,78300,845.2373,7,3,47000,0.6002554278416348,1,1,0,0.9556096816796102
62500,6250,0,875000,4750,0,0,0,174350,968.1777,11,4,879750,5.045884714654431,1,1,0,1.9524437179706045
340000,0,0,1400000,825000,0,0,40000,239425,732.3802,8,4,2265000,9.46016497859455,1,0,0,2.4388771072208906
0,0,0,240000,19000,0,0,120000,91200,1138.1884,14,3,379000,4.155701754385965,0,0,0,1.8173787668474963
0,0,0,0,725000,0,0,82500,110750,1008.159,10,2,807500,7.291196388261851,0,0,0,2.2290673269088046
0,0,0,350000,0,77500,0,8250,69550,603.811,12,3,435750,6.265276779295471,0,0,0,2.1120632188302975
0,0,0,0,0,10500,0,52500,62300,117.4481,12,9,63000,1.0112359550561798,0,0,0,1.1023506107787169
875000,1050,0,0,26000,0,8000,0,112300,1803.0518,7,4,34000,0.3027604630454141,1,1,0,0.8341086045933597
0,0,0,240000,0,230000,0,57500,62325,812.9501,13,4,527500,8.463698355395106,0,0,0,2.3479119674066706
220000,0,0,250000,41000,0,0,0,70400,2045.333,10,3,291000,4.1335227272727275,1,0,0,1.8137692549167104
97500,100,0,0,15000,0,0,0,36625,3007.2361,8,3,15000,0.40955631399317405,1,1,0,0.8794426284761747
0,0,0,700000,50000,0,0,0,182625,650.8396,9,4,750000,4.1067761806981515,0,0,0,1.8093990039375105
340000,0,0,125000,6250,0,8000,0,103275,519.4621,6,3,139250,1.3483418058581458,1,0,0,1.208465239966362
370000,4750,0,0,190000,0,0,0,65200,3547.148,7,4,190000,2.914110429447853,1,1,0,1.5921107462615969
0,2100,0,140000,37000,0,0,9000,57425,1778.9912,6,4,186000,3.239007400957771,0,1,0,1.6561320530911987
0,0,0,2300000,15000,0,0,4750,186525,603.742,8,2,2319750,12.436670687575392,0,0,0,2.6697715450789636
3000,0,0,525000,0,100000,0,50000,49200,822.4905,13,4,675000,13.71951219512195,1,0,0,2.754902755674934
7000,10500,0,1000000,200000,0,0,0,84925,175.4701,10,4,1200000,14.130114807182808,1,1,0,2.7806880097300644
0,0,0,0,0,250000,0,5000,48425,671.6546,13,1,255000,5.265875064532783,0,0,0,1.9831887391194984
0,0,0,0,155000,0,0,0,633075,566.3437,14,2,155000,0.24483670971053983,0,0,0,0.8086327834533644
155000,0,0,330000,19000,0,0,1000,137250,1335.2724,6,4,350000,2.5500910746812386,1,0,0,1.5151472491759925
0,2600,31000,210000,0,0,0,57500,85850,342.1521,6,2,267500,3.1158998252766454,0,1,1,1.6323533028518364
190000,0,0,625000,39000,0,0,0,81700,3895.4171,7,4,664000,8.127294981640146,1,0,0,2.315234252161354
0,0,0,130000,950000,0,0,72500,130575,700.9665,9,3,1152500,8.826345012444955,0,0,0,2.3819825167423727
320000,0,0,24000,80000,0,0,0,126550,662.9226,7,3,104000,0.8218095614381667,1,0,0,1.0373783676092696
95000,0,0,0,31000,0,0,10000,128325,1892.9435,9,2,41000,0.31950126631599457,1,0,0,0.8413521911530322
9500,0,0,550000,125000,0,0,14500,93475,1723.6966,9,3,689500,7.37630382455202,1,0,0,2.2381856368053783
0,0,0,0,280000,0,0,77500,81700,819.8946,8,4,357500,4.375764993880049,0,0,0,1.8525040828851886
0,0,0,210000,0,100000,0,40000,39725,3177.3777,12,1,350000,8.810572687224669,0,0,0,2.380524607789454
70000,0,0,220000,125000,0,0,7250,92575,2393.8539,8,4,352250,3.8050229543613288,1,0,0,1.7587235693817145
43000,15000,0,0,30000,0,0,7250,79550,1291.2479,7,3,37250,0.46825895663104966,1,1,0,0.9035130262402227
0,0,0,160000,0,0,19000,1000,203375,898.8488,9,3,180000,0.8850645359557467,0,0,0,1.059547269191931
135000,525,0,0,470000,0,150000,4750,190425,1141.6534,7,2,624750,3.2808192201654194,1,1,0,1.664081241017186
